Dataset,Model,Accuracy,ROC_AUC,Precision,Recall,F1,TN,FP,FN,TP
Taiwan,Logistic Regression,0.6776,0.7180493031168851,0.3690927906174543,0.6449668474984931,0.4695041684949539,4012,1829,589,1070
Taiwan,RBF SVM,0.7732,0.7543917222097871,0.48919753086419754,0.5732368896925859,0.5278934221482098,4848,993,708,951
South German,Logistic Regression,0.692,0.7499428571428571,0.49038461538461536,0.68,0.5698324022346368,122,53,24,51
South German,RBF SVM,0.684,0.7686857142857143,0.4807692307692308,0.6666666666666666,0.5586592178770949,121,54,25,50
